system:index,AMOSTRAS,AMOSTRA_AM,BioNB,CARTA_2,CLASS_2022,DECLIVIDAD,LAT,LON,NEW_PROB,NEW_WEIGHT,PESO_VOT,PROB_AMOS2,StateNB,TARGETID,VAL_PESO,classification,reference,year,.geo
00000000000000004fe0_0,,0,1,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-2.77381578,-44.0076056,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16788,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004fe9_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-2.96111452,-42.391177,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16820,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004fee_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.46318293,-43.0425455,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16470,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004ff0_0,,0,1,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-2.91260549,-43.9440048,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,1816,0.3333333333333333,15,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004ff5_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-2.81720441,-42.6593241,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16850,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004ff7_0,,0,4,SA-23-Z,LAVOURA TEMPORÁRIA,D1,-3.77498816,-43.0463184,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,14256,1,21,19,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004ffc_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.6440138,-43.3053027,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16864,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005001_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.4200638,-43.7445788,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,329,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005005_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-2.59729683,-43.1735198,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16884,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005006_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.93291199,-43.1929234,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16886,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
